identifier	cluster
arnim_wunderhorn01_1806-826-9	0
lasswitz_planeten02_1897-2310-1	0
werner_seeleben_1880-317-7	8
blumenbach_kleineschriften_1800-440-19	0
brehm_thierleben05_1869-5303-45	0
grimm_maerchen02_1843-232-22	1
grimm_maerchen01_1857-454-51	0
bauer_buehnenleben_1871-477-1	1
fouque_magie_1812-910-8	1
brehm_thierleben01_1864-14429-21	0
humboldt_aequinoktial03_1859-2466-14	0
stifter_nachsommer02_1857-1294-2	1
grimm_maerchen02_1857-1616-1	0
grimm_maerchen01_1850-3832-1	0
nn_nrhz255ii_1849-74-18	3
freud_hysterie_1895-1886-15	0
holz_hamlet_1889-366-24	0
vischer_poetik_1857-3822-12	2
beck_eisen03_1897-6724-5	1
arnimb_guenderode02_1840-482-31	3
brehm_thierleben06_1869-829-15	0
grimm_maerchen01_1819-518-8	0
brehm_thierleben03_1866-9421-11	0
brehm_thierleben02_1865-1164-11	0
boelsche_liebesleben01_1898-4993-6	0
arent_dichtercharaktere_1885-3441-131	2
treitschke_geschichte04_1889-2227-4	1
brehm_thierleben01_1864-15218-10	3
brehm_thierleben05_1869-4109-15	0
bauer_buehnenleben_1871-3550-8	1
rosenkranz_aesthetik_1853-1058-32	2
hoffmann_nachtstuecke02_1817-781-44	0
nn_nrhz237i_1849-481-20	1
rohde_psyche_1894-4094-26	0
kretzer_timpe_1888-2578-1	0
nn_nrhz293_1849-103-9	1
may_kurdistan_1892-13666-26	0
meyer_gedichte_1882-2049-1	0
thaer_landwirthschaft04_1812-2904-18	1
brehm_thierleben03_1866-13091-17	1
brehm_thierleben03_1866-14924-7	0
grimm_maerchen02_1843-418-34	0
freud_hysterie_1895-1749-62	0
erbkam_tagebuch02_1843-3850-4	1
arnim_wunderhorn02_1808-694-27	0
brehm_thierleben01_1864-10854-33	0
raabe_sperlingsgasse_1857-988-13	2
grimm_maerchen01_1850-4604-25	0
pfeiffer_frauenfahrt03_1850-2074-18	0
grimm_maerchen01_1843-2930-41	3
pocci_komoedienbuechlein06_1877-4928-0	0
boelsche_liebesleben01_1898-2108-44	0
brehm_thierleben02_1865-7286-8	0
hoffmann_elixiere01_1815-1356-6	0
kretzer_timpe_1888-2955-5	2
stifter_steine02_1853-1226-12	0
erbkam_tagebuch01_1842-2710-1	1
steinen_naturvoelker_1894-8234-1	0
freud_hysterie_1895-2374-18	0
pocci_komoedienbuechlein06_1877-4243-32	3
erbkam_tagebuch02_1843-1346-1	4
hoffmann_nachtstuecke02_1817-1415-1	1
storm_schimmelreiter_1888-190-7	0
nn_nrhz064_1848-73-28	0
pocci_komoedienbuechlein04_1871-646-2	0
brehm_thierleben01_1864-3211-46	0
stifter_nachsommer03_1857-1324-1	1
grimm_maerchen02_1850-3493-14	0
nn_nrhz242_1849-88-10	1
immermann_muenchhausen03_1839-2010-14	6
grimm_maerchen02_1843-2534-14	0
conradi_adam_1889-6908-36	0
lasswitz_planeten02_1897-665-1	1
grimm_maerchen01_1857-279-29	0
brehm_thierleben01_1864-15539-4	0
nettelbeck_lebensbeschreibung02_1821-215-26	3
hoffmann_floh_1822-536-22	0
engel_poetik_1806-2198-5	0
brehm_thierleben06_1869-6608-28	1
brehm_thierleben05_1869-3635-1	0
hebel_schatzkaestlein_1811-1719-34	6
wilamowitz_tragoedie_1889-1510-204	0
arnimb_goethe02_1835-705-70	1
beck_eisen02_1895-15644-8	1
brehm_thierleben03_1866-17462-9	3
schwab_sagen01_1838-2542-7	0
laube_europa0102_1833-494-21	9
brehm_thierleben01_1864-6303-27	0
humboldt_aequinoktial03_1859-1043-22	1
keller_sinngedicht_1882-2950-36	1
grimm_maerchen01_1850-2784-14	0
brehm_thierleben01_1864-5964-17	3
nn_nrhz114_1848-350-17	0
pfeiffer_frauenfahrt03_1850-481-9	1
hc_1040105_1848-468-28	1
humboldt_aequinoktial04_1859-1694-22	0
