identifier	cluster
2532889X_1947-03-08_01_058.tcf.xml-22-1	sense3
2532889X_1947-07-22_01_135.tcf.xml-13-2	-1
2532889X_1951-12-20_01_089.tcf.xml-1-62	sense4
2532889X_1957-10-25_01_016.tcf.xml-7-30	sense4
2532889X_1959-03-25_01_085.tcf.xml-14-5	sense4
2532889X_1959-06-24_01_096.tcf.xml-61-1	sense4
2532889X_1965-12-14_01_170.tcf.xml-69-10	-1
2532889X_1966-07-31_01_255.tcf.xml-18-1	sense3
2532889X_1967-02-26_01_030.tcf.xml-16-11	-1
2532889X_1968-09-30_01_074.tcf.xml-75-0	sense1
2532889X_1968-12-30_01_144.tcf.xml-1-3	-1
2532889X_1970-09-19_01_372.tcf.xml-194-5	-1
2532889X_1971-02-01_01_131.tcf.xml-11-1	-1
2532889X_1971-02-04_01_156.tcf.xml-10-38	sense4
2532889X_1973-05-26_01_177.tcf.xml-23-91	sense1
2532889X_1980-09-06_01_222.tcf.xml-8-11	sense1
26120215_1951_10_11_01_176.tcf.xml-12-11	sense3
26120215_1952_09_26_01_041.tcf.xml-3-1	sense3
26120215_1953_03_22_01_033.tcf.xml-48-1	sense4
26120215_1956_02_29_01_004.tcf.xml-18-6	-1
26120215_1963_02_26_01_038.tcf.xml-2-15	-1
26120215_1965_04_09_01_070.tcf.xml-13-6	sense1
26120215_1971_07_04_01_404.tcf.xml-16-15	sense1
26120215_1972_10_05_01_152.tcf.xml-4-16	sense4
26120215_1988_08_08_01_113.tcf.xml-13-2	-1
arnim_wunderhorn01_1806-826-9	sense3
bauer_buehnenleben_1871-3550-8	sense4
beck_eisen02_1895-7571-1	sense3
brehm_thierleben01_1864-5964-17	sense3
conradi_adam_1889-6908-36	sense3
engel_poetik_1806-2198-5	sense3
erbkam_tagebuch01_1842-2710-1	sense4
fouque_magie_1812-910-8	sense4
freud_hysterie_1895-2374-18	sense3
grimm_maerchen01_1819-518-8	sense3
grimm_maerchen01_1843-2930-41	sense3
grimm_maerchen01_1850-4604-25	sense3
grimm_maerchen02_1843-2534-14	sense3
grimm_maerchen02_1850-3493-14	sense3
humboldt_aequinoktial04_1859-1694-22	sense3
keller_sinngedicht_1882-2950-36	sense4
laube_europa0102_1833-494-21	sense4
pocci_komoedienbuechlein04_1871-646-2	sense3
raabe_sperlingsgasse_1857-988-13	-1
rosenkranz_aesthetik_1853-1058-32	sense1
schwab_sagen01_1838-2542-7	sense3
stifter_nachsommer02_1857-1294-2	sense4
stifter_steine02_1853-1226-12	sense4
storm_schimmelreiter_1888-190-7	sense3
treitschke_geschichte04_1889-2227-4	sense4
