lemma	pos	indexes	preceding_sentences	sentences	following_sentences	dates	filenames	identifiers	descriptions
celda	nfp    	25	que delitos han cometido los prisioneros que ahora están con ellos. Igual pueden estar en prisión por haber evadido impuestos, que por haber asesinado a decenas de personas, y es algo con lo que tendrían que tener cuidado.	Sea como fuere, Rick parece dispuestos a darles una oportunidad a los presos, por lo que se ponen en marcha para limpiar un bloque de celdas y que puedan vivir allí.	No tardamos mucho en darnos cuenta de que no tienen mucha cabeza que digamos cuando se encuentran a los primeros zombies, y en vez de atacar todos en formación, se lanzan a atacarles salvajemente sin darse cuenta de que los únicos golpes que les afectan son los que se les asestan en la cabeza. Mientras efectúan este	0	es-b-0.txt	control_1	[ES] Spain
celda	nfs    	26	proyecto educar en Argentina, pero justamente ante la debacle de un determinado gobierno o país, creemos que los proyectos tienen que tener raíz comunitaria, que es la que pervive, pasado el tsunami político o militar.	Testimonios como el del padre de un preso de la cárcel de Rocha, Uruguay, muerto en un incendio, porque no le abrieron la puerta de la celda para que pudiera salir, quizás contribuyan a encontrar una salida.	... Este padre reacciona así frente a un crimen atroz, que consistió en no abrir la celda donde se encontraba su hijo en medio de las llamas. http://www.youtube.com/watch?v=KGRczkSkU\\... Instantes grabados con el celular de otro preso. Cuando quieras, mate amargo de por medio o lo que acostumbres tomar,	0	es-b-0.txt	control_2	[ES] Spain
celda	nfp    	13	modesto pero es un primer paso, si cada empresa hiciera algo así el ahorro total en emisiones contaminantes por producir electricidad sería enorme... mucha gente cree que si algo es eléctrico es 0 emisiones y no es nocivo para el planeta, pero también hay que ver como se genera dicha.	En mi ciudad ya empiezan a vender casas de origen con instalación de celdas fotovoltaicas solares para alimentar el circuito de iluminación y calentadores de agua también solares, estamos muy cerca de Texas en donde está la sede de Dell y si algo sobra por estos rumbos es precisamente luz solar (aunque irónico, hoy está nublado y llueve jeje).	Ya es tiempo de pensar un poco más en nuestro probre planeta que tanto nos ha dado. 	0	es-b-0.txt	control_3	[ES] Spain
celda	nfs    	6	jueves, 15 de noviembre de 2012 Los presos Lázaro Pie Pérez, de la prisión de Quivicán, provincia Mayabeque, y Enrique Bartolomé Cambara Díaz, de Kilo 7, Camagüey, continúan en celda de castigo, medida tomada por la Seguridad del Estado para impedir que informen a la prensa independiente sobre la situación en las prisiones.	Lázaro Pie Pérez, se halla en celda de castigo desde el pasado día 24 de septiembre.	Fue visitado por oficiales de la Seguridad del Estado que le advirtieron que mientras siguiera llamando a esta reportera continuaría en celda de aislamiento, para que dejase de comunicar se con esa contrarrevolucionaria. Su salud está delicada por ser diabético tipo dos, según informó el recluso Juan Carlos Quintero Alfonso. Enrique Bartolomé Cambara, de	1	cu-b-0.txt	control_4	[CU] Cuba
capital	nms    	31	en Cuba, desde 1912, abogaron por la unión intersectorial -y con los hombres- para lograr sus anhelos y que hoy son merecedoras de la trascendencia que de la historia se deriva.	Feministas por ideología, incomprendidas en su mayoría y hasta tildadas de lesbianas en aquel entonces, ellas protagonizaron un movimiento que marca su inicio cien años atrás, cuando se crearon en la capital cubana tres organizaciones de ese corte: el Partido Nacional Femenino, el Partido de Sufragistas Cubanas y el Partido Popular Feminista, a través de las cuales llevaron adelante su empeño por hacer valer sus derechos en una sociedad que por herencia histórica era-y es- patriarcal y machista.	La importancia del movimiento del feminismo en Cuba fue tal que hoy se le considera,	1	cu-b-0.txt	control_5	[CU] Cuba
capital	nms	21	el Norte de Tenerife La campaña Ven a Santa Cruz de compras el próximo domingo se apoya en la emisión de un vídeo en 45 hoteles de Arona, Adeje, Guía de Isora, Santiago del Teide, Puerto de la Cruz y Los Realejos.	El alcalde accidental santacrucero, Florentino Guzmán, dice que se están dando los pasos para que su ciudad sea de nuevo la capital de Canarias.	El alcalde accidental, José Ángel Martín, destacó en la presentación de este evento que la capital está bien dinamizada por la Sociedad de Desarrollo y los empresarios ya no discuten quién abre, sino cuánta gente va a venir. ?? Se están dando los pasos para que Santa Cruz de Tenerife sea de nuevo la capital de Canarias, resumió Martín el	0	es-b-0.txt	control_6	[ES] Spain
capital	nms    	9	actores que intervienen en la política del baloncesto español y europeo. Se puede decir que es una persona que goza del pragmatismo y que en pocas veces exhibe el idealismo en sus principios básicos como dirigente. El Tío Gilito no entiende el principio de riqueza como producto final de su trabajo en el baloncesto.	La comprensión de la riqueza como la acumulación del capital sin tener en cuenta que se puede crear riqueza nueva a partir de la distribución de la misma.	Tío Gilito en este sentido sospecha de los agentes externos, los Golfos Apandadores, como meras amenazas con el fin de robar le su riqueza. De ahí su postura rácana y a la defensiva frente a las iniciativas planteadas. Sólo por esta razón se puede comprender	0	es-b-0.txt	control_7	[ES] Spain
capital	nms    	28	de documentales Hot Docs de Toronto su película Otra noche en la Tierra sobre la revolución egipcia, dijo hoy que la situación en los países árabes es muy compleja y que en cada país las circunstancias son muy diferentes.	Muñoz rodó Otra noche en la Tierra poco después del estallido de la revolución egipcia y lo hizo con vídeos filmados en el interior de taxis de la capital egipcia que capturaban las conversaciones francas, y a veces disparatadas, de conductores y clientes.	La idea surgió unos meses antes de la revolución. Estaba trabajando como jurado en un festival de cine en Ismailía, en el Canal de Suez. Tuve un día libre para visitar El Cairo y me pasé el 70% del día en el taxi por los atascos en	0	es-b-0.txt	control_8	[ES] Spain
ratón	nmp    	14	añade. Nuevas neuronas en cerebros individuales En el experimento llevado a cabo para estudiar las conductas específicas, cada uno de los ratones estaba equipado con un micro-chip que emitía señales electromagnéticas, lo que permitió a los científicos construir perfiles de movimiento de los roedores y cuantificar su comportamiento.	Como indican los autores, a pesar de un entorno común y genes idénticos, los ratones mostraron patrones de comportamiento altamente individualizados, reaccionando a su entorno de manera diferente.	Es más, durante los tres meses de experimento estas desigualdades se incrementaron. Estas discrepancias se asociaron con diferencias en la generación de nuevas neuronas en el hipocampo, una región del cerebro que apoya el aprendizaje y la memoria, sostiene Kempermann. Según el investigador, en los animales que	1	cu-b-0.txt	control_9	[CU] Cuba
ratón	nms    	6	que observes una pequeña demora cuando esto ocurra. Reposo de la pantalla: cuando la pantalla entra en el modo de reposo, ésta se oscurece aunque las aplicaciones que se están ejecutando permanecen activas. Si la pantalla tiene un indicador de encendido, éste puede cambiar para indicar que la pantalla se encuentra en el modo de bajo consumo.	Para activar la pantalla, mueve el ratón, toca el trackpad o pulsa una tecla del teclado.	Reposo del sistema: conocido como reposo, cuando el sistema entra en dicho modo, el ordenador (así como el disco duro y la pantalla) entran en un modo de bajo consumo. El indicador de encendido del ordenador se ilumina de manera intermitente, parpadea o se pone de color ámbar	0	es-b-0.txt	control_10	[ES] Spain
